"KodeUnit","Tanggal","NoBukti","NoInput","KodeBudidaya","KodeAfdeling","Norek","KodeBarang","Netral","kdblok","KodeUnsur","Uraian","Jml_fisik","Debet","Kredit","Aplikasi",
"13","31-12-2016 00:00:00","GJI201612V-40101","","02","12","601020200","","0200","","G","Upah Kerja SPK Bulan : 12-2016","2","2781913","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-40101","","02","12","601050102","","0200","","G","Upah Kerja SPK Bulan : 12-2016","4","511516","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-40101","","02","12","601050103","","0200","","G","Upah Kerja SPK Bulan : 12-2016","22,15","33990283","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-40101","","02","12","601050104","","0200","","G","Upah Kerja SPK Bulan : 12-2016","88,03","16885828","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-40101","","02","12","601050200","","0200","","G","Upah Kerja SPK Bulan : 12-2016","100,04","6140655","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-40101","","02","12","601060101","","0200","","G","Upah Kerja SPK Bulan : 12-2016","4","204608","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-40101","","02","12","601060201","","0200","","G","Upah Kerja SPK Bulan : 12-2016","36","552456","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-40101","","02","12","601070100","","0200","","G","Upah Kerja SPK Bulan : 12-2016","84,23","16156915","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-40101","","02","12","601070500","","0200","","G","Upah Kerja SPK Bulan : 12-2016","220,17","3378729","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-40101","","02","12","601080100","","0200","","G","Upah Kerja SPK Bulan : 12-2016","6,49","6639484","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-40101","","02","12","601090903","","0200","","G","Upah Kerja SPK Bulan : 12-2016","29,15","4473213","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-40101","","02","12","602020200","","0200","","G","Upah Kerja SPK Bulan : 12-2016","1","2279484","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-40101","","02","14","602030200","","0205","","G","Upah Kerja SPK Bulan : 12-2016","91,862","3749172","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-40101","","02","14","602030201","","0200","","G","Upah Kerja SPK Bulan : 12-2016","70656","36208658","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-40101","","02","14","602140400","","0200","","G","Upah Kerja SPK Bulan : 12-2016","78","3481374","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-00101","","02","20","600000200","","0200","","G","Gaji Bulan : 12-2016","0","3148000","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-00102","","02","20","600000211","","0200","","G","Tunjangan Tetap Bulan :12-2016","0","1048000","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-00104","","02","20","403010100","","","","G","BPJS Kesehatan Bulan : 12-2016","0","167840","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-00104","","02","20","600000204","","0200","","G","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 12-2016","0","274418","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-00105","","02","20","600000205","","0200","","G","Tunj.Dapenbun Bulan : 12-2016","0","71224","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-00203","","02","20","600000213","","0200","","G","Tunjangan Jabatan Bulan : 12-2016","0","847000","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-00301","","02","20","154010000","","","","G","Potongan Jamsostek & BPJS Bulan : 12-2016","0","610098","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-00302","","02","20","154010000","","","","G","Potongan Dapenbun Bulan : 12-2016","0","132013","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-00303","","02","20","154010000","","","","G","Pinjaman Peg.Staf Bulan : 12-2016","0","1163000","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-00304","","02","20","154010000","","","","G","Potongan Koperasi Bulan : 12-2016","0","1986150","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10101","","02","20","401010000","","","","G","Gaji Bulan : 12-2016","0","2424000","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10101","","02","20","603010100","","0200","","G","Gaji Bulan : 12-2016","0","22794000","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10101","","02","20","603020000","","0200","","G","Gaji Bulan : 12-2016","0","1481000","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10101","","02","20","603030000","","0200","","G","Gaji Bulan : 12-2016","0","1066000","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10101","","02","20","603030001","","0200","","G","Gaji Bulan : 12-2016","0","1066000","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10101","","02","20","603030200","","0200","","G","Gaji Bulan : 12-2016","0","1066000","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10101","","02","20","603040100","","0200","","G","Gaji Bulan : 12-2016","0","2132000","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10101","","02","20","605010000","","0200","","G","Gaji Bulan : 12-2016","0","1215000","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10102","","02","20","404170000","","","","G","Tunjangan Tetap Bulan : 12-2016","0","807000","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10102","","02","20","603190111","","0200","","G","Tunjangan Tetap Bulan : 12-2016","0","9845000","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10102","","02","20","605190111","","0200","","G","Tunjangan Tetap Bulan : 12-2016","0","405000","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10104","","02","20","404010100","","","","G","Tunj.BPJS Kesehatan Bbn.Persh. Bulan : 12-2016","0","2481387","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10104","","02","20","404100000","","","","G","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 12-2016","0","211307","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10104","","02","20","603190104","","0200","","G","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 12-2016","0","2580031","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10104","","02","20","605190104","","0200","","G","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 12-2016","0","105948","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10105","","02","20","404060000","","","","G","Tunj.Dapenbun Bbn.Persh. Bulan : 12-2016","0","54406","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10105","","02","20","603190105","","0200","","G","Tunj.Dapenbun Bbn.Persh. Bulan : 12-2016","0","637163","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10105","","02","20","605190105","","0200","","G","Tunj.Dapenbun Bbn.Persh. Bulan : 12-2016","0","26499","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10109","","02","20","603010100","","0200","","G","Lain-Lain Bulan : 12-2016","0","4014368","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10109","","02","20","605010000","","0200","","G","Lain-Lain Bulan : 12-2016","0","352736","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10203","","02","20","603190113","","0200","","G","Tunjangan Jabatan Bulan : 12-2016","0","357000","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10301","","02","20","154022000","","","","G","Potongan Jamsostek & BPJS Bulan : 12-2016","0","7328044","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10302","","02","20","154022000","","","","G","Potongan Dapenbun Bulan : 12-2016","0","1330929","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10303","","02","20","154022000","","","","G","Potongan Kebun Bulan : 12-2016","0","1008792","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10304","","02","20","154022000","","","","G","Potongan Koperasi Bulan : 12-2016","0","17243002","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20101","","02","20","603030000","","0200","","G","Upah Harian Bulan : 12-2016","0","1135602","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20101","","02","20","603030001","","0200","","G","Upah Harian Bulan : 12-2016","0","2687369","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20101","","02","20","603030002","","0200","","G","Upah Harian Bulan : 12-2016","0","1014967","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20101","","02","20","603030003","","0200","","G","Upah Harian Bulan : 12-2016","0","4408100","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20101","","02","20","603030103","","0200","","G","Upah Harian Bulan : 12-2016","0","132259","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20101","","02","20","603040100","","0200","","G","Upah Harian Bulan : 12-2016","0","1147354","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20103","","02","20","603030000","","0200","","G","Upah Sosial Bulan : 12-2016","0","218385","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20103","","02","20","603030001","","0200","","G","Upah Sosial Bulan : 12-2016","0","1189008","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20103","","02","20","603030002","","0200","","G","Upah Sosial Bulan : 12-2016","0","353032","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20103","","02","20","603030003","","0200","","G","Upah Sosial Bulan : 12-2016","0","925685","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20103","","02","20","603030200","","0200","","G","Upah Sosial Bulan : 12-2016","0","1367999","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20103","","02","20","603030300","","0200","","G","Upah Sosial Bulan : 12-2016","0","220645","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20103","","02","20","603040100","","0200","","G","Upah Sosial Bulan : 12-2016","0","220645","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20105","","02","20","603190204","","0200","","G","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 12-2016","0","982371","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20108","","02","20","154032000","","","","G","Dapenbun Beban Pribadi Bulan : 12-2016","0","208170","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20110","","02","20","603030001","","0200","","G","Premi/Lembur Bulan :12-2016","0","182790","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20110","","02","20","603030002","","0200","","G","Premi/Lembur Bulan :12-2016","0","142294","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20110","","02","20","603030003","","0200","","G","Premi/Lembur Bulan :12-2016","0","456628","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20110","","02","20","603040100","","0200","","G","Premi/Lembur Bulan :12-2016","0","183276","0","GUP",
"13","30-12-2016 00:00:00","A58201612-V00352","A58201612-00352","02","30","300030200","00302006","","","B","Pembebanan 5 RORED HD A-140  (KEMSAN DRUM) Utk.Afdeling/Bagian Teknik","0","0","172731,076923077","TUP",
