"kdjabatan","uraian",
"085319123","Mandor Mesin/Olimen Antan",
"085319223","Tukang Mesin/Olimen Antan",
"085320226","Tukang Instalasi/Listrik/Air Antan",
"085400001","Kepala Administrasi Antan",
"085400002","Sinder TUK Antan",
"085400003","Asisten Sinder TUK Antan",
"085400004","Pymt Sinder TUK Antan",
"085400005","Asisten Kepala Administrasi Antan",
"085400006","Pymt Kepala Administrasi Antan",
"085400008","Pjs.Kepala Administrasi Antan",
"085400100","Koordinator/Petugas PIK Antan",
"085400101","Anggota PIK/Pembantu PIK Antan",
"085401100","Petugas Tabin Antan",
"085401101","Pjs.Petugas Tabin Antan",
"085401146","Pembantu Tabin Antan",
"085401147","JTU.TUP Antan",
"085401299","Operator Komputer Antan",
"085402100","Petugas Pengadaan Antan",
"085402148","JTU.Pengadaan Barang/Jasa Antan",
"085402149","Kasir Antan",
"085403100","Petugas Kas Antan",
"085403149","JTU.Kasir Antan",
"085404100","Petugas Gudang Antan",
"085404101","Pjs.Petugas Gudang Antan",
"085404150","JTU.Gudang Barang Bahan Antan",
"085404151","JTU.Gudang Produksi Antan",
"085404250","Pelayan Gudang Antan",
"085405100","Petugas Umum Antan",
"085405101","Pjs.Petugas Umum Antan",
"085405151","JTU Sekretariat Antan",
"085405152","JTU Personalia/Herregistrasi Antan",
"085405153","JTU Umum Antan",
"085407101","JTU Kesehatan Antan",
"085408100","Kepala Keamanan Antan",
"085408159","Wkl. Kepala Keamanan Antan",
"085408160","Anggota Satpam/Waker Antan",
"085500001","Kepala Afdeling Antan",
"085500002","Sinder Afdeling Antan",
"085500003","Asisten Sinder Afdeling Antan",
"085500004","Pymt.Sinder Afdeling Antan",
"085500006","Asisten Kepala Afdeling Antan",
"085500007","Pymt.Kepala Afdeling Antan",
"085500008","Pjs.Kepala Afdeling Antan",
"085509100","JTU Kepala Afdeling Antan",
"085509101","JTU Pembantu Antan",
"085509102","Penilai Norma Panen Antan",
"085509103","JTU Timbang Antan",
"085509203","Karyawan Muat Bongkar Antan",
"085523100","Mandor Besar Panen Antan",
"085523135","Mandor Panen Antan",
"085523137","Notol Bidang Sadapan Antan",
"085523292","Karyawan Panen Antan",
"085524100","Mandor Besar Pemeliharaan Antan",
"085524139","Mandor Penyiangan Kimiawi Antan",
"085524140","Mandor Proteksi/PHP Antan",
"085524141","Mandor Penyiangan Manual Antan",
"085524142","Mandor Mangkas Antan",
"085524143","Mandor Persemaian/TTI/TBM Antan",
"085524144","Tukang Okulasi Antan",
"085524239","Karyawan Penyiangan Kimiawi Antan",
"085524240","Karyawan Proteksi/PHP Antan",
"085524241","Karyawan Penyiangan Manual Antan",
"085524242","Karyawan Mangkas Antan",
"085524243","Karyawan Persemaian/TTI/TBM Antan",
"085524244","Karyawan Pemeliharaan Antan",
"085525167","Keamanan Kebun Antan",
"090100000","Direktur KPB",
"090101000","Kepala Bagian Jasa Penj.Teh & Karet",
"090101100","Kepala Urusan Pelelangan",
"090101101","Urusan Pelelangan Teh & Karet",
"090101102","Karyawan Urusan Pelelangan Teh & Karet",
"090102001","Kepala Urusan Pengapalan Teh",
"090102002","Staf Setara Kaur",
"090102100","Pymt.Kepala Urusan Pengapalan",
"090102101","Urusan Pengapalan",
"090102102","Karyawan Urusan Pengapalan",
"090103101","Urusan Quality Control",
"090103102","Karyawan Urusan Quality Control",
"090104100","Urusan Verifikasi Tetes",
"090201000","Kepala Bagian Tata Usaha",
"090202100","Kepala Urusan Sekretariat",
"090203100","Kepala Urusan Umum/SPP",
"090203101","Urusan Keuangan",
"090204000","Kepala Urusan Analisa/Informasi Pasar",
"090204100","Bagian Analisa/Informasi Pasar",
"090204101","Urusan Analisa/Informasi Pasar",
"090205100","Bagian Penjualan Karet Div.KL",
"082004000","Wakil Manajer Operasional",
"090301100","Kepala Urusan Pengawasan Financial",
"090301101","Pengemudi",
"090301102","Anggota Satpam",
"090401000","Dokter Perusahaan",
"090501000","Kepala Bagian Pemasaran",
"090501100","Kepala Urusan Pemasaran Karet Wil.Jawa",
"090501200","Kepala Urusan Pemasaran Karet Wil.Luar Jawa",
"090601000","Kepala Bagian Keuangan",
"091000000","Direksi PT KCIC",
"091000100",".......",
"091000200",".......",
"091000300",".......",
"091000310","Staf Administratif PT KCIC",
"091001000","Kepala Bagian Keuangan",
"060320134","Petugas Kalibrasi",
"060320225","Tukang Bengkel Umum/Workshop",
"060320226","Tukang Instalasi/listrik",
"060321100","Mandor Besar Teknik Sipil",
"060321130","Mandor Bangunan",
"060321131","Mandor Jalan/Emplasement",
"060321230","Tukang Bangunan",
"060321231","Tukang Perbaikan Jalan/Emplasement",
"060322100","Mandor Besar Pembangkitan,Mesin & Instalasi",
"060322132","Mandor PLTD",
"060322133","Mandor PLTA",
"060322134","Mandor Mesin dan Instalasi",
"060322135","Mandor Listrik",
"060322232","Karyawan PLTD",
"060322233","Karyawan PLTA",
"060400000","Asisten Administrasi",
"060400001","Kepala Administrasi",
"060400002","Sinder TUK",
"060400003","Asisten Sinder TUK",
"060400004","Pymt Sinder TUK",
"060400005","Asisten Kepala Administrasi",
"060400006","Pymt Kepala Administrasi",
"060400007","Pjs.Asisten Administrasi",
"060400008","Pjs.Kepala Administrasi",
"060400009","Staf Kebun Bidang Administrasi",
"060400010","Staf Kebun Bidang UKK",
"060400011","Calon Staf Kebun Bidang Administrasi",
"060400012","Calon Staf Kebun Bidang UKK",
"060400100","Koordinator/Petugas PIK",
"060400101","Anggota PIK/Pembantu PIK",
"060400200","Mandor Besar Quality Control",
"060400201","Karyawan Kalibrasi",
"060400202","Karyawan Pengendali Dokumen",
"060400203","Karyawan Monitoring Proses",
"060401100","Petugas Tabin",
"060401101","Pjs.Petugas Tabin",
"060401146","Pembantu Tabin",
"060401147","JTU.TUP",
"060401299","Operator Komputer",
"060402100","Petugas Pengadaan/Keuangan",
"060402148","JTU.Pengadaan Barang/Jasa",
"060402149","Kasir",
"060403100","Petugas Kas",
"060403149","JTU.Kasir",
"060404100","Petugas Gudang",
"060404101","Pjs.Petugas Gudang",
"060404150","JTU.Gudang Barang Bahan",
"060404151","JTU.Gudang Produksi",
"060404152","SPKL",
"060404250","Pelayan Gudang",
"060405100","Petugas Umum",
"060405101","Pjs.Petugas Umum",
"060405151","JTU Sekretariat",
"060405152","JTU Personalia/Herregistrasi",
"060405153","JTU Umum",
"060405154","Rohbun/Guru Agama/Guru TK/Amil",
"060405155","Petugas Diklat",
"060405156","Pembantu Humas",
"060405253","Pengasuh Bayi/TPA",
"060405254","Pramubakti",
"060405255","Pelayan Mess",
"060405299","Operator Telepon",
"060406100","JTU Tanaman",
"060406105","Petugas Tanaman",
"060406156","JTU Tanaman Pembantu",
"060407100","Kepala Balai Pengobatan/UKK",
"060407101","JTU Kesehatan",
"060407102","Pembantu JTU Kesehatan",
"060407157","Juru Ukur",
"060407158","Penjenang Kesehatan",
"060408100","Kepala Keamanan",
"060408159","Wkl. Kepala Keamanan",
"060408259","Anggota Satpam/Waker",
"060500001","Kepala Afdeling",
"060500002","Sinder Afdeling",
"060500003","Asisten Sinder Afdeling",
"060500004","Pymt.Sinder Afdeling",
"060500005","Staf Kebun",
"060500006","Asisten Kepala Afdeling",
"060500007","Pymt.Kepala Afdeling",
"060500008","Pjs.Kepala Afdeling",
"060500009","Staf Kebun Bidang Administrasi",
"060500010","Staf Kebun Bidang Tanaman",
"060500011","Asisten Afdeling",
"060500015","Pjs.Asisten Afdeling",
"060500016","Asisten Sub Afdeling",
"060500017","Pjs.Asisten Sub Afdeling",
"060509100","JTU Kepala Afdeling",
"060509101","JTU Pembantu",
"060509102","Penilai Norma Panen",
"060509103","JTU Timbang",
"060509203","Karyawan Muat Bongkar Pucuk",
"060523100","Mandor Besar Panen/Sadap",
"060523134","Koordinator PPH",
"060523135","Mandor Panen/Sadap",
"060523136","Gambar Bidang Sadapan",
"060523137","Notol Bidang Sadapan",
"060523290","Karyawan Pemetik",
"060523291","Karyawan Sadap",
"060523292","Karyawan Panen Sawit",
"060523293","Operator Mesin Petik",
"060524100","Mandor Besar Pemeliharaan",
"060524139","Mandor Penyiangan Kimiawi",
"060524140","Mandor Proteksi/PHP",
"060524141","Mandor Penyiangan Manual",
"060524142","Mandor Mangkas",
"060524143","Mandor Persemaian/TTI/TBM",
"060524144","Tukang Okulasi",
"060524239","Karyawan Penyiangan Kimiawi",
"060524240","Karyawan Proteksi/PHP",
"060524241","Karyawan Penyiangan Manual",
"060524242","Karyawan Mangkas",
"060524243","Karyawan Persemaian/TTI/TBM",
"060525100","Koordinator Tap Kontrol",
"060525165","Anggota Tap kontrol",
"060525166","Petugas Pemetaan",
"060525167","Keamanan Kebun",
"060600002","Sinder Pembangkitan Listrik",
"060609100","JTU Kepala Pembangkitan",
"060609101","JTU Pembangkitan Pembantu",
"060609294","JTU Penagihan Rekening Listrik",
"060626100","Mandor Besar Pembangkitan",
"060626145","Mandor Pembangkitan",
"060626245","Karyawan Pembangkitan",
"060627100","Mandor Besar Pemeliharaan Instalasi",
"060627159","Mandor Pemeliharaan Instalasi",
"060627259","Karyawan Pemeliharaan Instalasi",
"060628100","Mandor Besar Bengkel",
"060628125","Mandor Bengkel Umum/Pembangkitan",
"060628225","Karyawan Bengkel Pembangkitan",
"060700001","Kepala Wisata Agro",
"060700002","Sinder Wisata Agro",
"060709100","JTU Kepala Wisata Agro",
"060709101","Pembantu JTU Wisata Agro",
"060709293","Karyawan Restribusi",
"060729100","Koordinator Wisata Agro",
"060729160","Pengawas Wisma/Bungalow/Pondokan",
"060729161","Pengawas Tea Corner/Café",
"060729162","Pengawas FO/Guide",
"060729163","Pengawas Operasional",
"060729164","Pengawas Cleaning Service/Pemeliharaan",
"060729260","Karyawan Wisma/Bungalow/Pondokan",
"060729261","Karyawan Tea Corner/Café",
"060729262","Karyawan FO/Guide",
