"KodeUnit","tanggal","NoInput","NoBukti","Keterangan","NoUrut","kodeafd","kodebud","norek","netral","kdblok","thntnm","uraian","unsur","DK","nilai","JmlFisik","NamaUser","TglInput","KMK",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","21","02","300090000","0200","","","ALAT PENGOLAHAN","","K","350000","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","30","02","300090000","","","","ALAT PENGOLAHAN","","K","220500","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300100000","","","","ALAT TULIS KANTOR (A.T.K)","","K","2394700","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300100000","0200","","","ALAT TULIS KANTOR (A.T.K)","","K","3230800","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","30","02","300100000","","","","ALAT TULIS KANTOR (A.T.K)","","K","720000","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300110000","000003","","","ALAT-ALAT BENGKEL","","K","5970025","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300110000","000004","","","ALAT-ALAT BENGKEL","","K","246400","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300110000","0200","","","ALAT-ALAT BENGKEL","","K","574142165,6","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300110000","1927","","","ALAT-ALAT BENGKEL","","K","367500","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300110000","1940","","","ALAT-ALAT BENGKEL","","K","336000","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300110000","1971","","","ALAT-ALAT BENGKEL","","K","367500","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","12","02","601060201","1928","","","BLISTER BLIGHT","","K","855784,27058384","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","12","02","601060201","1932","","","BLISTER BLIGHT","","K","484673,930914877","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","12","02","601060201","1947","","","BLISTER BLIGHT","","K","2577016,20190166","52","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","12","02","601060201","1962","","","BLISTER BLIGHT","","K","276620,767175057","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","12","02","601060201","1970","","","BLISTER BLIGHT","","K","1037581,15241633","98","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","12","02","601060201","2010","","","BLISTER BLIGHT","","K","334527,064961807","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","12","02","601060201","2011","","","BLISTER BLIGHT","","K","398063,587276328","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","12","02","601060201","2012","","","BLISTER BLIGHT","","K","547201,727409056","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","14","02","601060201","1971","","","BLISTER BLIGHT","","K","10345515,7255806","223,55","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","14","02","601060201","2000","","","BLISTER BLIGHT","","K","621034,610737096","0","CLOSING","07-12-2016 10:01:58","01",
