"tanggal","kodeunit","kodeafd","kodebud","grup","nobukti","uraian","norek","DK","nilai","netral","thntnm","jmlfisik",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00304","Potongan Koperasi Bulan : 12-2016","151060000","K","4269550","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00305","Potongan PPIP Bulan : 12-2016","168070000","K","245168","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00401","Tunjangan PPH Ps.21 Bulan : 12-2016","154010000","K","1647727","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00402","Potongan PPH Ps.21 Bulan : 12-2016","160000000","K","1647727","","","0",
"31-12-2016 00:00:00","14","02","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","401010000","D","9689000","","","0",
"31-12-2016 00:00:00","14","02","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","601010100","D","1187000","","","0",
"31-12-2016 00:00:00","14","10","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","401010000","D","2157000","","","0",
"31-12-2016 00:00:00","14","10","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","423010000","D","1071000","","","0",
"31-12-2016 00:00:00","14","10","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","601010100","D","1197000","","","0",
"31-12-2016 00:00:00","14","10","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","602010000","D","6731000","","","0",
"31-12-2016 00:00:00","14","10","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","927010100","D","1071000","","","0",
"31-12-2016 00:00:00","14","11","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","401010000","D","2132000","","","0",
"31-12-2016 00:00:00","14","11","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","601010100","D","4974000","","","0",
"31-12-2016 00:00:00","14","11","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","602010000","D","4993000","","","0",
"31-12-2016 00:00:00","14","12","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","401010000","D","1086000","","","0",
"31-12-2016 00:00:00","14","12","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","601010100","D","6242000","","","0",
"31-12-2016 00:00:00","14","12","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","602010000","D","11204000","","","0",
"31-12-2016 00:00:00","14","14","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","401010000","D","3218000","","","0",
"31-12-2016 00:00:00","14","14","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","601010100","D","2330000","","","0",
"31-12-2016 00:00:00","14","14","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","602010000","D","5081000","","","0",
"31-12-2016 00:00:00","14","15","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","601010100","D","4022000","","","0",
"31-12-2016 00:00:00","14","15","36","02","GJI201612V-10101","Gaji Bulan : 12-2016","042010100","D","2857000","2013","2013","0",
"31-12-2016 00:00:00","14","20","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","603010100","D","5417000","0200","","0",
"31-12-2016 00:00:00","14","20","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","603030000","D","1284000","0200","","0",
"31-12-2016 00:00:00","14","20","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","603030001","D","1086000","0200","","0",
"31-12-2016 00:00:00","14","20","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","603030003","D","1197000","0200","","0",
"31-12-2016 00:00:00","14","20","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","603030200","D","1146000","0200","","0",
"31-12-2016 00:00:00","14","21","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","603010100","D","4983000","0200","","0",
"31-12-2016 00:00:00","14","21","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","603030002","D","1437000","0200","","0",
"31-12-2016 00:00:00","14","21","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","603030003","D","1245000","0200","","0",
"31-12-2016 00:00:00","14","21","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","603030200","D","1066000","0200","","0",
"31-12-2016 00:00:00","14","21","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","603040100","D","1066000","0200","","0",
"31-12-2016 00:00:00","14","21","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","603100300","D","1080000","0200","","0",
"31-12-2016 00:00:00","14","21","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","604010100","D","1086000","0200","","0",
"31-12-2016 00:00:00","14","21","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","605020100","D","1284000","0200","","0",
"31-12-2016 00:00:00","14","30","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","401010000","D","3047000","","","0",
"31-12-2016 00:00:00","14","30","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","604010100","D","1206000","0200","","0",
"31-12-2016 00:00:00","14","30","02","02","GJI201612V-10101","Gaji Bulan : 12-2016","604020100","D","7585000","0200","","0",
"31-12-2016 00:00:00","14","02","02","02","GJI201612V-10101","Gaji Bulan :12-2016","154020200","K","10876000","","","0",
"31-12-2016 00:00:00","14","10","02","02","GJI201612V-10101","Gaji Bulan :12-2016","154021000","K","12227000","","","0",
"31-12-2016 00:00:00","14","11","02","02","GJI201612V-10101","Gaji Bulan :12-2016","154021100","K","12099000","","","0",
"31-12-2016 00:00:00","14","12","02","02","GJI201612V-10101","Gaji Bulan :12-2016","154021200","K","18532000","","","0",
"31-12-2016 00:00:00","14","14","02","02","GJI201612V-10101","Gaji Bulan :12-2016","154021400","K","10629000","","","0",
"31-12-2016 00:00:00","14","15","02","02","GJI201612V-10101","Gaji Bulan :12-2016","154021500","K","4022000","","","0",
"31-12-2016 00:00:00","14","15","36","02","GJI201612V-10101","Gaji Bulan :12-2016","154021500","K","2857000","","","0",
"31-12-2016 00:00:00","14","20","02","02","GJI201612V-10101","Gaji Bulan :12-2016","154022000","K","10130000","","","0",
"31-12-2016 00:00:00","14","21","02","02","GJI201612V-10101","Gaji Bulan :12-2016","154022100","K","13247000","","","0",
"31-12-2016 00:00:00","14","30","02","02","GJI201612V-10101","Gaji Bulan :12-2016","154023000","K","11838000","","","0",
"31-12-2016 00:00:00","14","02","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","404170000","D","3225000","","","0",
"31-12-2016 00:00:00","14","10","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","404170000","D","1429000","","","0",
"31-12-2016 00:00:00","14","11","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","404170000","D","708000","","","0",
"31-12-2016 00:00:00","14","12","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","404170000","D","361000","","","0",
"31-12-2016 00:00:00","14","14","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","404170000","D","1070000","","","0",
"31-12-2016 00:00:00","14","30","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","404170000","D","1016000","","","0",
"31-12-2016 00:00:00","14","02","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","601190111","D","395000","","","0",
"31-12-2016 00:00:00","14","10","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","601190111","D","398000","","","0",
"31-12-2016 00:00:00","14","10","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","602190111","D","2240000","","","0",
"31-12-2016 00:00:00","14","11","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","601190111","D","1655000","","","0",
"31-12-2016 00:00:00","14","11","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","602190111","D","1662000","","","0",
"31-12-2016 00:00:00","14","12","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","601190111","D","2078000","","","0",
"31-12-2016 00:00:00","14","12","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","602190111","D","3731000","","","0",
"31-12-2016 00:00:00","14","14","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","601190111","D","775000","","","0",
"31-12-2016 00:00:00","14","14","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","602190111","D","1692000","","","0",
"31-12-2016 00:00:00","14","15","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","601190111","D","1338000","","","0",
"31-12-2016 00:00:00","14","15","36","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","042190111","D","950000","2013","2013","0",
"31-12-2016 00:00:00","14","20","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","603190111","D","1802000","0200","","0",
"31-12-2016 00:00:00","14","20","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","603190111","D","428000","0200","","0",
"31-12-2016 00:00:00","14","20","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","603190111","D","361000","0200","","0",
"31-12-2016 00:00:00","14","20","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","603190111","D","398000","0200","","0",
"31-12-2016 00:00:00","14","20","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","603190111","D","381000","0200","","0",
"31-12-2016 00:00:00","14","21","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","603190111","D","1658000","0200","","0",
"31-12-2016 00:00:00","14","21","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","603190111","D","478000","0200","","0",
"31-12-2016 00:00:00","14","21","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","603190111","D","414000","0200","","0",
"31-12-2016 00:00:00","14","21","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","603190111","D","354000","0200","","0",
"31-12-2016 00:00:00","14","21","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","603190111","D","354000","0200","","0",
"31-12-2016 00:00:00","14","21","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","603190111","D","360000","0200","","0",
"31-12-2016 00:00:00","14","21","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","604190111","D","361000","0200","","0",
"31-12-2016 00:00:00","14","21","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","605190111","D","428000","0200","","0",
"31-12-2016 00:00:00","14","30","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","604190111","D","401000","0200","","0",
"31-12-2016 00:00:00","14","30","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","604190111","D","2524000","0200","","0",
"31-12-2016 00:00:00","14","02","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","154020200","K","3620000","","","0",
"31-12-2016 00:00:00","14","10","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","154021000","K","4067000","","","0",
"31-12-2016 00:00:00","14","11","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","154021100","K","4025000","","","0",
"31-12-2016 00:00:00","14","12","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","154021200","K","6170000","","","0",
"31-12-2016 00:00:00","14","14","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","154021400","K","3537000","","","0",
"31-12-2016 00:00:00","14","15","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","154021500","K","1338000","","","0",
"31-12-2016 00:00:00","14","15","36","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","154021500","K","950000","","","0",
"31-12-2016 00:00:00","14","20","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","154022000","K","3370000","","","0",
"31-12-2016 00:00:00","14","21","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","154022100","K","4407000","","","0",
"31-12-2016 00:00:00","14","30","02","02","GJI201612V-10102","Tunjangan Tetap Bulan : 12-2016","154023000","K","3941000","","","0",
"31-12-2016 00:00:00","14","02","02","02","GJI201612V-10104","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 12-2016","404100000","D","844576","","","0",
"31-12-2016 00:00:00","14","10","02","02","GJI201612V-10104","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 12-2016","404100000","D","374612","","","0",
"31-12-2016 00:00:00","14","11","02","02","GJI201612V-10104","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 12-2016","404100000","D","185736","","","0",
"31-12-2016 00:00:00","14","12","02","02","GJI201612V-10104","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 12-2016","404100000","D","94634","","","0",
"31-12-2016 00:00:00","14","14","02","02","GJI201612V-10104","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 12-2016","404100000","D","280436","","","0",
"31-12-2016 00:00:00","14","30","02","02","GJI201612V-10104","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 12-2016","404100000","D","265720","","","0",
"31-12-2016 00:00:00","14","02","02","02","GJI201612V-10104","Tunj.BPJS Kesehatan Bbn.Persh. Bulan : 12-2016","404010100","D","733403","","","0",
"31-12-2016 00:00:00","14","10","02","02","GJI201612V-10104","Tunj.BPJS Kesehatan Bbn.Persh. Bulan : 12-2016","404010100","D","910290","","","0",
"31-12-2016 00:00:00","14","11","02","02","GJI201612V-10104","Tunj.BPJS Kesehatan Bbn.Persh. Bulan : 12-2016","404010100","D","910290","","","0",
