"NPP","NoUrut","TKPendidikan","Pendidikan","Nama","Kota","StatAkreditasi","DNLN","TahunAwal","TahunAkhir","StatLulus","NoIjasah","TglIjasah","Nilai","Grade","UserId","TglInput",
"01051278041380","01","2","2A00","","BANDUNG","0","D","1991","1994","L","02 oa ob 0281630","06-06-1994 00:00:00","76","C","MIGRASI","07-05-2015 08:59:05",
"01051278041382","01","2","2A00","","BANDUNG","0","D","1991","1994","L","02 oa ob 0255244","30-05-1994 00:00:00","77","C","MIGRASI","07-05-2015 08:59:05",
"01051280041376","01","3","2B00","","BANDUNG","0","D","1995","1998","L","00000","01-06-1998 00:00:00","77","C","MIGRASI","07-05-2015 08:59:05",
"01051280041376","02","7","IL10","KOMUNIKASI","BANDUNG","0","D","","","L","FD/SI/179/2004","30-08-2004 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01051280041383","01","2","2A00","","BANDUNG","0","D","1993","1996","L","02 ob 0285074","01-06-1996 00:00:00","71","C","MIGRASI","07-05-2015 08:59:05",
"01051281041378","01","3","3A00","IPA","CICALENGKA","0","D","1996","1999","L","mu 102 0071385","31-05-2012 00:00:00","73","C","MIGRASI","07-05-2015 08:59:05",
"01051281041378","02","7","DA30","MANAJEMEN","","0","D","","","L","U/16374/93.4313","15-10-2005 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01051287041389","01","3","3DF0","BISNIS MANAJEMEN","BANJARAN","0","D","2002","2005","L","dn 02 mk 0147515","30-06-2005 00:00:00","70","C","MIGRASI","07-05-2015 08:59:05",
"01057363008458","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01057963017868","01","3","3Z00","KPG","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01058063019684","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01058163020839","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01058365021755","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01058365021756","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01058368021757","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01058464023058","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01058464023059","01","1","1A00","SD","","1","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01058465023060","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01058465023062","01","2","2A00","SMP","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01058466023063","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01058560025285","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01058564025286","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01058565025287","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01058567025288","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01058567025289","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01058567025290","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01059466031001","01","3","3000","UMUM","BANDUNG","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01060160036232","01","3","3000","","","2","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01060164036240","01","3","3A00","","","2","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01060165036235","01","3","3A00","","","2","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01060165036237","01","3","3A00","","","2","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01060165036238","01","2","3000","","","2","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01060165036241","01","3","3000","","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01060166036236","01","3","3A00","","","2","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01060170036233","01","2","2000","","","2","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01060671040481","01","1","1A00","","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01060674040477","01","2","2A00","","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01060674040479","01","2","2A00","","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01060675040478","01","1","1A00","","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01060675040480","01","3","3B00","","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01067660013679","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01067962017956","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01068463023135","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01068465023136","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01069669032250","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01069676032251","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01070160036503","01","3","3000","SMA","SUBANG","0","D","","","L","ZXXX","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01070169036994","01","3","3A00","SMEA","BANDUNG","1","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
