"kodeunit","tgltran","nobukti","noaktiva","kdafd","kdbud","kelompok","norek","tglbeli","nmaktiva","kelompokaset","tarifpct","jmlunit","satuan","sawalp","auditp","rcp","hapusp","rekp","kbnp","murnip","sawals","audits","rcs","hapuss","kbns","reks","murnis","stopr","thntnm","kondisi",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500008","21","00","005","005010000","01-01-1988 00:00:00","SHEETER MESIN","05","5","1","UNIT","38280000","0","0","0","0","0","0","38279999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500009","30","00","005","005010000","01-01-1989 00:00:00","ELECTROMOTOR SIHI","05","5","1","UNIT","632375","0","0","0","0","0","0","632374","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500010","30","00","005","005010000","01-01-1989 00:00:00","DIESEL YANMAR","05","5","1","UNIT","2336679","0","0","0","0","0","0","2336678","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500011","30","00","005","005010000","01-01-1990 00:00:00","KETEL UAP PAB.CREPE","05","5","1","UNIT","10979723","0","0","0","0","0","0","10979722","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500012","30","00","005","005010000","01-01-1990 00:00:00","TRANSFORMATOR DIESEL PAB.CREPE","05","5","1","UNIT","8388435","0","0","0","0","0","0","8388434","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500013","30","00","005","005010000","01-01-1991 00:00:00","COMPRESOR YANMAR","05","5","1","UNIT","8146050","0","0","0","0","0","0","8146049","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500014","30","00","005","005010000","01-01-1992 00:00:00","PIPA PEMANAS","05","5","1","UNIT","4159557","0","0","0","0","0","0","4159556","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500015","21","00","005","005010000","01-01-1993 00:00:00","RODA GILINGAN CREPE","05","5","1","UNIT","9733275","0","0","0","0","0","0","9733274","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500016","21","00","005","005010000","01-01-1993 00:00:00","GIGI CREPER","05","5","1","UNIT","4860000","0","0","0","0","0","0","4859999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500017","21","00","005","005010000","01-01-1994 00:00:00","LAGER GILINGAN CREPE","05","5","1","UNIT","4828000","0","0","0","0","0","0","4827999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500018","21","00","005","005010000","01-01-1994 00:00:00","ROL MANGEL CREPE","05","5","1","UNIT","23521081","0","0","0","0","0","0","23521080","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500019","21","00","005","005010000","01-01-1995 00:00:00","ROL MANGEL CREPE","05","5","1","UNIT","31460688","0","0","0","0","0","0","31460687","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600026","12","00","006","006020000","30-11-2001 00:00:00","PEMBUATAN 1 UNT JEMBATAN BETON UK.18M2","01","6,25","1","UNIT","31898000","0","0","0","0","0","0","31897999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600027","12","00","006","006020000","30-11-2001 00:00:00","PEMBUATAN 1 UNT JEMBATAN BETON UK.75M2","01","6,25","1","UNIT","27500000","0","0","0","0","0","0","27499999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600028","12","00","006","006020000","01-11-2003 00:00:00","JEMBATAN CILANGKAP AFD.III UK.1705 M2","01","6,25","1","UNIT","22770000","0","0","0","0","0","0","22769999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600029","12","00","006","006020000","01-11-2003 00:00:00","JEMBATAN MANDALING AFD.III UK  828 M2","01","6,25","1","UNIT","11060000","0","0","0","0","0","0","11059999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600030","11","00","006","006020000","01-11-2003 00:00:00","JEMBATAN CILANDAK AFD.II   UK  820 M2","01","6,25","1","UNIT","10950000","0","0","0","0","0","0","10949999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600031","12","00","006","006020000","26-12-2008 00:00:00","JEMBATAN BETON AFD.III   UK. 9 M2","01","6,25","1","UNIT","63690000","0","0","0","0","0","0","38214018,25","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600032","12","00","006","006020000","30-06-2010 00:00:00","JEMBATAN BETON UK.12 M2 DI AFD.III","01","6,25","1","UNIT","62421000","0","0","0","0","0","0","25683615,125","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600033","10","00","006","006020000","01-06-2013 00:00:00","JEMBATAN AFD I PONDOK GUNUNG","01","6,25","1","UNIT","71871000","0","0","0","0","0","0","16096106,375","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600034","10","00","006","006020000","01-06-2013 00:00:00","JEMBATAN AFD I CIBURUY","01","6,25","1","UNIT","71147000","0","0","0","0","0","0","15933956,2083333","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100600035","12","00","006","006020000","01-06-2013 00:00:00","JEMBATAN AFD III TEGAL PANJANG","01","6,25","1","UNIT","69731000","0","0","0","0","0","0","15616831,2083333","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100700001","30","00","007","007010000","01-01-1988 00:00:00","TAFT GT                 F.1148.UL","04","20","1","UNIT","27825000","0","0","0","0","0","0","27824999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100700002","30","00","007","007020000","31-03-1900 00:00:00","TRUK ISUZU ELP   D.8622.BY","04","20","1","UNIT","113454545","0","0","0","0","0","0","113454544","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800001","30","00","008","008010000","01-01-1990 00:00:00","TANGKI LATEX","04","20","2","BUAH","11440546","0","0","0","0","0","0","11440544","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800002","30","00","008","008010000","01-08-1999 00:00:00","MIST BLOWER EX PANGHEOTAN","04","20","1","BUAH","7653688","0","0","0","0","0","0","7653687","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800003","30","00","008","008010000","01-08-1999 00:00:00","MIST BLOWER EX SUKAMAJU","04","20","1","BUAH","7480000","0","0","0","0","0","0","7479999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800004","30","00","008","008010000","01-08-1999 00:00:00","MIST BLOWER EX PT.AGRIJAYA ALFA","04","20","1","BUAH","7480000","0","0","0","0","0","0","7479999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800005","30","00","008","008010000","31-12-1996 00:00:00","BULKING TANGK","04","20","3","BUAH","388982","0","0","0","0","0","0","388979","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800006","30","00","008","008010000","31-12-2009 00:00:00","TANGKI LATEK KAP.3000 LTR","04","20","1","BUAH","53000000","0","0","0","0","0","0","52999999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800009","30","00","008","008010000","01-06-2007 00:00:00","TANGKI LATEK EX BODA KAV.4000LTR","04","20","1","BUAH","1855694","0","0","0","0","0","0","1855693","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800010","30","00","008","008010000","30-06-2010 00:00:00","TANGKI LATEKS KAV.3000 LTR","04","20","2","BUAH","86900000","0","0","0","0","0","0","86899998","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800011","02","00","008","008020000","01-01-1972 00:00:00","BRANKAST","04","20","2","BUAH","186103","0","0","0","0","0","0","186101","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800012","02","00","008","008020000","01-01-1981 00:00:00","FILING KABINET","04","20","1","BUAH","179338","0","0","0","0","0","0","179337","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800013","02","00","008","008020000","01-01-1990 00:00:00","MEJA TULIS","04","20","2","BUAH","135000","0","0","0","0","0","0","134998","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800014","02","00","008","008020000","01-01-1991 00:00:00","LEMARI JATI","04","20","1","BUAH","250000","0","0","0","0","0","0","249999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800015","02","00","008","008020000","01-01-1991 00:00:00","MEJA TULIS","04","20","3","BUAH","180000","0","0","0","0","0","0","179997","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800016","02","00","008","008020000","01-01-1991 00:00:00","TEMPAT TIDUR","04","20","2","BUAH","550000","0","0","0","0","0","0","549998","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800017","02","00","008","008020000","31-12-2005 00:00:00","COMPUTER SERVER HP ML 110","04","20","1","UNIT","11990000","0","0","0","0","0","0","11989999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800018","02","00","008","008030000","01-01-1983 00:00:00","LEMARI MAKAN","04","20","1","BUAH","188295","0","0","0","0","0","0","188294","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800019","02","00","008","008030000","01-01-1984 00:00:00","LEMARI JATI","04","20","1","BUAH","496174","0","0","0","0","0","0","496173","0","0","0","0","0","0","","","0",
