"kodeunit","tanggal","unsur","kodeafd","kodebud","norek","netral","kodebarang","qtyBrg_RKAP","qtyBrg_PMK","klsKary","jmlHK_RKAP","jmlHsl_RKAP","jmlKary_RKAP","nilai_RKAP","jmlHK_PMK","jmlHsl_PMK","jmlKary_PMK","nilai_PMK","kodeblok","thntnm","HaJelajah_RKAP","HaJelajah_PMK","KMK",
"71","23-01-2017 00:00:00","GU","11","00","042030200","2012","","0","0","","0","0","0","0","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","GU","11","00","042050200","2012","","0","0","","0","0","0","0","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","GU","11","00","042050200","2012","","0","0","","0","0","0","1739000","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","GU","11","00","042050200","2012","","0","0","","0","0","0","0","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","GU","11","00","042050104","2012","","0","0","","0","0","0","3189000","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","GU","11","00","042050104","2012","","0","0","","0","0","0","799000","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","GU","11","00","042050200","2012","","0","0","","0","0","0","58462000","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","GU","12","00","042010100","2013","","0","0","","0","0","0","1988000","0","0","0","0","0009","2013","0","0","01",
"71","23-01-2017 00:00:00","GU","12","00","042030100","2013","","0","0","","0","0","0","3094000","0","0","0","0","0009","2013","0","0","01",
"71","23-01-2017 00:00:00","GU","12","00","042050200","2013","","0","0","","0","0","0","0","0","0","0","0","0009","2013","0","0","01",
"71","23-01-2017 00:00:00","GU","12","00","042050200","2013","","0","0","","0","0","0","1375000","0","0","0","0","0009","2013","0","0","01",
"71","23-01-2017 00:00:00","BB","12","00","042030200","2013","","0","0","","0","0","0","3094000","0","0","0","0","0009","2013","0","0","01",
"71","23-01-2017 00:00:00","GU","11","00","042070100","2012","","0","0","","0","0","0","0","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","GU","11","00","042080300","2012","","0","0","","0","0","0","0","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","GU","11","00","042090900","2012","","0","0","","0","0","0","257000","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","BB","11","00","601050200","0000","","0","0","","0","0","0","38978000","0","0","0","29233000","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","BB","11","00","042050200","2012","","0","0","","0","0","0","1594000","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","BB","11","00","042050200","2012","","0","0","","0","0","0","1726000","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","BB","11","00","042070100","2012","","0","0","","0","0","0","653000","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","BB","11","00","042070100","2012","","0","0","","0","0","0","549000","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","BB","11","00","042070100","2012","","0","0","","0","0","0","103000","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","BB","11","00","042070100","2012","","0","0","","0","0","0","1013000","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","BB","11","00","042060204","2012","","0","0","","0","0","0","248000","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","BB","11","00","042070300","2012","","0","0","","0","0","0","0","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","LL","11","00","042071900","2012","","0","0","","0","0","0","0","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","GU","12","00","042050200","2013","","0","0","","0","0","0","2476000","0","0","0","0","0009","2013","0","0","01",
"71","23-01-2017 00:00:00","GU","12","00","042050200","2013","","0","0","","0","0","0","0","0","0","0","0","0009","2013","0","0","01",
"71","23-01-2017 00:00:00","GU","12","00","042050104","2013","","0","0","","0","0","0","4125000","0","0","0","0","0009","2013","0","0","01",
"71","23-01-2017 00:00:00","GU","12","00","042050104","2013","","0","0","","0","0","0","1034000","0","0","0","0","0009","2013","0","0","01",
"71","23-01-2017 00:00:00","GU","12","00","042070100","2013","","0","0","","0","0","0","0","0","0","0","0","0009","2013","0","0","01",
"71","23-01-2017 00:00:00","GU","12","00","042050200","2013","","0","0","","0","0","0","61893000","0","0","0","0","0009","2013","0","0","01",
"71","23-01-2017 00:00:00","GU","12","00","042080300","2013","","0","0","","0","0","0","0","0","0","0","0","0009","2013","0","0","01",
"71","23-01-2017 00:00:00","GU","12","00","042090900","2013","","0","0","","0","0","0","332000","0","0","0","0","0009","2013","0","0","01",
"71","23-01-2017 00:00:00","BB","12","00","042050200","2013","","0","0","","0","0","0","1488000","0","0","0","0","0009","2013","0","0","01",
"71","23-01-2017 00:00:00","BB","12","00","042070100","2013","","0","0","","0","0","0","929000","0","0","0","0","0009","2013","0","0","01",
"71","23-01-2017 00:00:00","BB","12","00","042070100","2013","","0","0","","0","0","0","710000","0","0","0","0","0009","2013","0","0","01",
"71","23-01-2017 00:00:00","BB","12","00","042070100","2013","","0","0","","0","0","0","133000","0","0","0","0","0009","2013","0","0","01",
"71","23-01-2017 00:00:00","BB","12","00","042070100","2013","","0","0","","0","0","0","1311000","0","0","0","0","0009","2013","0","0","01",
"71","23-01-2017 00:00:00","BB","12","00","042060204","2013","","0","0","","0","0","0","321000","0","0","0","0","0009","2013","0","0","01",
"71","23-01-2017 00:00:00","BB","12","00","042070300","2013","","0","0","","0","0","0","0","0","0","0","0","0009","2013","0","0","01",
"71","18-01-2017 00:00:00","GU","21","00","600000200","0000","","0","0","","0","0","0","7328173","0","0","0","54920000","","","0","0","01",
"71","18-01-2017 00:00:00","GU","21","00","603010100","0000","","0","0","","0","0","0","7530106","0","0","0","10710000","","","0","0","01",
"71","18-01-2017 00:00:00","GU","21","00","603030003","0000","","0","0","","0","0","0","20136955","0","0","0","24535000","","","0","0","01",
"71","18-01-2017 00:00:00","GU","21","00","603030003","0000","","0","0","","0","0","0","28027391","0","0","0","12406000","","","0","0","01",
"71","18-01-2017 00:00:00","GU","21","00","603030103","0000","","0","0","","0","0","0","32109564","0","0","0","25157000","","","0","0","01",
"71","18-01-2017 00:00:00","GU","21","00","603030103","0000","","0","0","","0","0","0","15000000","0","0","0","7524000","","","0","0","01",
"71","18-01-2017 00:00:00","GU","21","00","603030200","0000","","0","0","","0","0","0","15488967","0","0","0","8522000","","","0","0","01",
