"kodeunit","tanggal","kodetrans","kodeafd","kodebud","regmdr","register","sts","norek","netral","kdblok","thntnm","stb","jmlhasil","nilai","KMK",
"71","01-01-2017 00:00:00","638","11","00","01020979041246","711200231","KL","602030200","","0002","2001","Cash","226","1242000","01",
"71","01-01-2017 00:00:00","638","11","00","01030271037195","01099165030354","KB","602030100","","0002","2001","Cash","113","658000","01",
"71","22-01-2017 00:00:00","638","10","00","01059466031153","01030273037186","KB","602030100","","0001","2005","Cash","212","1304000","01",
"71","22-01-2017 00:00:00","638","10","00","01059466031153","711000253","KL","602030200","","0002","2005","Cash","95","555000","01",
"71","22-01-2017 00:00:00","638","10","00","01060681040448","01099567031864","KB","602030100","","0003","2009","Cash","104","613000","01",
"71","22-01-2017 00:00:00","638","10","00","01060681040448","01089567031709","KB","602030100","","0004","2009","Cash","85","500000","01",
"71","22-01-2017 00:00:00","638","10","00","01060681040448","01010070034898","KB","602030100","","0013","1999","Cash","19","113000","01",
"71","22-01-2017 00:00:00","638","10","00","01120572040211","01059464031145","KB","602030100","","0002","2005","Cash","26","172000","01",
"71","22-01-2017 00:00:00","638","10","00","01120572040211","01010371039054","KB","602030100","","0013","1999","Cash","67","472000","01",
"71","22-01-2017 00:00:00","638","10","00","01049066028874","01051284041910","KB","602030100","","0003","2009","Cash","24","168000","01",
"71","22-01-2017 00:00:00","638","10","00","01049066028874","01020980041244","KB","602030100","","0001","2005","Cash","45","318000","01",
"71","22-01-2017 00:00:00","638","10","00","01049066028874","711000050","KL","602030200","","0013","1999","Cash","13","92000","01",
"71","22-01-2017 00:00:00","638","10","00","01010174035743","711000292","KL","602030200","","0027","2010","Cash","254","1756000","01",
"71","22-01-2017 00:00:00","638","10","00","01051286041900","711000275","KL","602030200","","0026","2010","Cash","59","334000","01",
"71","22-01-2017 00:00:00","638","10","00","01051286041900","711000311","KL","602030200","","0003","2009","Cash","50","399000","01",
"71","22-01-2017 00:00:00","638","10","00","01051286041900","711000079","KL","602030200","","0002","2005","Cash","35","196000","01",
