"kodeunit","tanggal","unsur","kodeafd","kodebud","norek","netral","kodebarang","qtyBrg_RKAP","qtyBrg_PMK","klsKary","jmlHK_RKAP","jmlHsl_RKAP","jmlKary_RKAP","nilai_RKAP","jmlHK_PMK","jmlHsl_PMK","jmlKary_PMK","nilai_PMK","kodeblok","thntnm","HaJelajah_RKAP","HaJelajah_PMK","KMK",
"10","18-07-2017 00:00:00","BB","11","02","601060103","0200","","0","0","","0","0","0","278758","0","0","0","0","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601060104","0200","","0","0","","0","0","0","609342","0","0","0","0","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601060201","0200","","0","0","","0","0","0","0","0","0","0","1182214","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601070100","0200","","0","0","","0","0","0","0","0","0","0","98180490","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601070200","0200","","0","0","","0","0","0","352339","0","0","0","1792623","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601070400","0200","","0","0","","0","0","0","1593419","0","0","0","3906233","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601070500","0200","","0","0","","0","0","0","11165022","0","0","0","7258789","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601080100","0200","","0","0","","0","0","0","0","0","0","0","0","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","602130000","0200","","0","0","","0","0","0","39077684","0","0","0","27717937","0200","1999","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603110100","0200","","0","0","","0","0","0","316000","0","0","0","368000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603110200","0200","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603110201","0200","","0","0","","0","0","0","177923000","0","0","0","207237000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603110400","0200","","0","0","","0","0","0","4909000","0","0","0","5450000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603190101","0200","","0","0","","0","0","0","642000","0","0","0","642000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603190104","0200","","0","0","","0","0","0","1097000","0","0","0","1097000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603190105","0200","","0","0","","0","0","0","120000","0","0","0","120000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603190115","0200","","0","0","","0","0","0","1283000","0","0","0","1283000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603190201","0200","","0","0","","0","0","0","5410000","0","0","0","7314000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603190204","0200","","0","0","","0","0","0","12156000","0","0","0","16435000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603190205","0200","","0","0","","0","0","0","1001000","0","0","0","1354000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","603190215","0200","","0","0","","0","0","0","10819000","0","0","0","14627000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","605190101","0200","","0","0","","0","0","0","1006000","0","0","0","1187000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","605190104","0200","","0","0","","0","0","0","1070000","0","0","0","1246000","","","0","0","01",
