"Kodeunit","kdbeli","nofaktur","tglfaktur","tglkembali","jmlpak","jmlkg","nilai","mutasi","nilaibayar","Batal",
"29","L07083","FAK201801V00041","22/01/2018 0:00:00","31/01/2018 0:00:00","1600","203,2","14884481,92","0","0","",
"29","L07083","FAK201801V00036","18/01/2018 0:00:00","18/01/2018 0:00:00","3840","219,6","25335359,28","0","0","",
"29","L07083","FAK201801V00027","17/01/2018 0:00:00","31/01/2018 0:00:00","640","160","6140801,92","0","0","",
"29","L07083","FAK201801V00018","16/01/2018 0:00:00","31/01/2018 0:00:00","320","80","3070400,96","0","0","",
"29","L07083","FAK201801V00021","16/01/2018 0:00:00","31/01/2018 0:00:00","720","72","2829602,16","0","0","",
"29","L07083","FAK201801V00010","15/01/2018 0:00:00","31/01/2018 0:00:00","4320","194,4","40378060,8","0","0","",
"29","L07083","FAK201801V00007","11/01/2018 0:00:00","11/01/2018 0:00:00","5040","246","30203279,04","0","0","",
"29","L07083","FAK201801V00009","05/01/2018 0:00:00","06/01/2018 0:00:00","288","12,96","1967328","0","0","",
"29","L07083","FAK201801V00002","05/01/2018 0:00:00","05/01/2018 0:00:00","37440","374,4","29053252,8","0","0","",
"29","L07083","FAK201801V00004","05/01/2018 0:00:00","05/01/2018 0:00:00","912","41,04","6229872","0","0","",
"29","L07083","FAK201801V00001","02/01/2018 0:00:00","03/01/2018 0:00:00","2400","120","9154807,2","0","0","",
"29","L07267","FAK201909V00713","23/09/2019 0:00:00","01/01/1900 0:00:00","400","40","2660693,52","0","0","",
"29","L07267","FAK201909V00701","16/09/2019 0:00:00","01/01/1900 0:00:00","240","19,2","1327579,11","0","0","",
"29","L07267","FAK201909V00686","09/09/2019 0:00:00","01/01/1900 0:00:00","240","19,2","1327579,11","0","0","",
"29","L07267","FAK201909V00667","04/09/2019 0:00:00","01/01/1900 0:00:00","240","19,2","1327579,11","0","0","",
"29","L07267","FAK201909V00669","04/09/2019 0:00:00","01/01/1900 0:00:00","272","27,2","1728124,74","0","0","",
"29","L07267","FAK201909V00663","02/09/2019 0:00:00","01/01/1900 0:00:00","264","16,8","1461824,28","0","0","",
"29","L07267","FAK201908V00653","28/08/2019 0:00:00","29/08/2019 0:00:00","288","21,6","1593590,68","0","0","",
"29","L07267","FAK201908V00643","27/08/2019 0:00:00","28/08/2019 0:00:00","320","29,6","1994136,31","0","0","",
"29","L07267","FAK201908V00640","26/08/2019 0:00:00","27/08/2019 0:00:00","344","34,4","2125902,72","0","0","",
"29","L07267","FAK201908V00619","16/08/2019 0:00:00","16/08/2019 0:00:00","216","14,4","1195812,7","0","0","",
"29","L07267","FAK201908V00613","14/08/2019 0:00:00","16/08/2019 0:00:00","432","28,8","2391625,4","0","0","",
"29","L07267","FAK201908V00614","14/08/2019 0:00:00","20/08/2019 0:00:00","384","26,4","2125613,83","0","0","",
"29","L07267","FAK201908V00612","12/08/2019 0:00:00","14/08/2019 0:00:00","288","21,6","1593590,68","0","0","",
"29","L07267","FAK201908V00591","05/08/2019 0:00:00","07/08/2019 0:00:00","272","27,2","1728124,74","0","0","",
"29","L07267","FAK201908V00586","02/08/2019 0:00:00","07/08/2019 0:00:00","360","21,6","1993847,42","0","0","",
"29","L07267","FAK201907V00581","31/07/2019 0:00:00","03/08/2019 0:00:00","240","19,2","1327579,11","0","0","",
"29","L07267","FAK201907V00561","29/07/2019 0:00:00","03/08/2019 0:00:00","288","28,8","1591111,92","0","0","",
"29","L07267","FAK201907V00557","26/07/2019 0:00:00","01/08/2019 0:00:00","240","19,2","1327579,11","0","0","",
"29","L07267","FAK201907V00544","24/07/2019 0:00:00","27/07/2019 0:00:00","272","27,2","1728124,74","0","0","",
"29","L07267","FAK201907V00521","15/07/2019 0:00:00","17/07/2019 0:00:00","288","28,8","1591111,92","0","0","",
"29","L07267","FAK201907V00512","09/07/2019 0:00:00","12/07/2019 0:00:00","288","21,6","1593590,68","0","0","",
"29","L00055","FAK201805V00269","07/05/2018 0:00:00","08/05/2018 0:00:00","48","2,16","464640","0","0","",
"29","L00054","FAK201808V00571","02/08/2018 0:00:00","09/08/2018 0:00:00","1296","63,12","7265280","0","0","",
"29","L00054","FAK201806V00381","04/06/2018 0:00:00","11/06/2018 0:00:00","960","48","4118400","0","0","",
"29","L07130","FAK201907V00567","30/07/2019 0:00:00","01/08/2019 0:00:00","232","28","1796638,74","0","0","",
"29","L07130","FAK201907V00572","30/07/2019 0:00:00","01/08/2019 0:00:00","152","17,6","1103519,16","0","0","",
"29","L07130","FAK201907V00573","30/07/2019 0:00:00","01/08/2019 0:00:00","104","15,2","829919,44","0","0","",
"29","L07130","FAK201907V00568","30/07/2019 0:00:00","01/08/2019 0:00:00","376","35,2","2617437,92","0","0","",
"29","L07130","FAK201904V00257","12/04/2019 0:00:00","14/04/2019 0:00:00","400","58,72","4694060,91","0","0","",
"29","L07130","FAK201904V00256","12/04/2019 0:00:00","14/04/2019 0:00:00","264","35,76","2694958,1","0","0","",
"29","L07130","FAK201904V00244","11/04/2019 0:00:00","13/04/2019 0:00:00","256","44,32","3873263,24","0","0","",
"29","L00073","FAK201908V00660","29/08/2019 0:00:00","01/01/1900 0:00:00","720","33,6","7005599,04","0","0","",
"29","L07189","FAK201903V00228","31/03/2019 0:00:00","29/04/2019 0:00:00","2880","172,8","11707185,6","0","0","",
"29","LO7287","FAK201901V00053","31/01/2019 0:00:00","02/04/2019 0:00:00","101780","6089","285677920","0","0","",
"29","L07189","FAK201903V00157","31/03/2019 0:00:00","06/04/2019 0:00:00","19732","1574,92","79064480","0","0","",
"29","L07130","FAK201904V00245","11/04/2019 0:00:00","13/04/2019 0:00:00","400","31,84","4850014,88","0","0","",
"29","L07130","FAK201904V00246","11/04/2019 0:00:00","13/04/2019 0:00:00","568","62,8","7178349,53","0","0","",
