"KodeUnit","tanggal","kodebud","kodeafd","nobukti","norek","netral","uraian","dk","nilai",
"29","01/09/2019 0:00:00","02","02","RTR201909V00013","820022900","","Retur 3 Dus Teh Hitam Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.MIDI UTAMA INDONESIA Tbk","D","36885",
"29","01/09/2019 0:00:00","02","02","RTR201909V00017","820022900","","Retur 3 Dus Teh Hitam Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.MIDI UTAMA INDONESIA Tbk","D","47145",
"29","01/09/2019 0:00:00","02","02","RTR201909V00006","820022900","","Retur 3 Dus Teh Hitam Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.MIDI UTAMA INDONESIA Tbk","D","36885",
"29","01/09/2019 0:00:00","02","02","RTR201909V00007","820022900","","Retur 3 Dus Teh Hitam Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.MIDI UTAMA INDONESIA Tbk","D","36885",
"29","01/09/2019 0:00:00","02","02","RTR201909V00008","820022900","","Retur 6 Dus Teh Hitam Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.MIDI UTAMA INDONESIA Tbk","D","73770",
"29","01/09/2019 0:00:00","02","02","RTR201909V00014","820022900","","Retur 3 Dus Teh Hitam Celup DC Walini-Dus 50 g (25 TB x 2 g) dari PT.MIDI UTAMA INDONESIA Tbk","D","47145",
"29","01/09/2019 0:00:00","02","02","RTR201909V00016","820022900","","Retur 7 Dus Teh Hitam Celup DC Walini-Dus 50 g (25 TB x 2 g) dari PT.MIDI UTAMA INDONESIA Tbk","D","110005",
"29","01/09/2019 0:00:00","02","02","RTR201909V00017","820022900","","Retur 1 Dus Teh Hijau Celup DC Walini-Dus 50 g (25 TB x 2 g) dari PT.MIDI UTAMA INDONESIA Tbk","D","19084",
"29","01/09/2019 0:00:00","02","02","RTR201909V00014","820022900","","Retur 6 Dus Teh Hijau Celup DC Walini-Dus 50 g (25 TB x 2 g) dari PT.MIDI UTAMA INDONESIA Tbk","D","114504",
"29","01/09/2019 0:00:00","02","02","RTR201909V00016","820022900","","Retur 9 Dus Teh Hijau Celup DC Walini-Dus 50 g (25 TB x 2 g) dari PT.MIDI UTAMA INDONESIA Tbk","D","171756",
"29","01/09/2019 0:00:00","02","02","RTR201909V00013","820022900","","Retur 4 Dus Teh Hijau Celup DC Walini-Dus 50 g (25 TB x 2 g) dari PT.MIDI UTAMA INDONESIA Tbk","D","52740",
"29","01/09/2019 0:00:00","02","02","RTR201909V00006","820022900","","Retur 1 Dus Teh Hijau Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.MIDI UTAMA INDONESIA Tbk","D","19084",
"29","01/09/2019 0:00:00","02","02","RTR201909V00008","820022900","","Retur 1 Dus Teh Hijau Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.MIDI UTAMA INDONESIA Tbk","D","19084",
"29","01/09/2019 0:00:00","02","02","RTR201909V00001","820022900","","Retur 3 Dus Teh Hitam Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","D","50515,08",
"29","01/09/2019 0:00:00","02","02","RTR201909V00004","820022900","","Retur 24 Dus Teh Hitam Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","D","404120,64",
"29","01/09/2019 0:00:00","02","02","RTR201909V00004","820022900","","Retur 103 Dus Teh Wangi Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","D","1548520,54",
"29","01/09/2019 0:00:00","02","02","RTR201909V00001","820022900","","Retur 76 Dus Teh Wangi Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","D","1142597,68",
"29","01/09/2019 0:00:00","02","02","RTR201909V00018","820022900","","Retur 76 Dus Teh Wangi Celup Walini-Dus 45 g (25 TB x 1,8 g) dari PT.LION SUPER INDO","D","650006,72",
