"KodeProduk","NamaProduk",
"8992829101178","Teh Hijau Celup SC Bumi Asih-Paper Sachet 2 g",
"8992829101179","Teh Jahe Celup SC Bumi Asih-Paper Sachet 2 g",
"8992829101180","Teh Lemon Celup SC Bumi Asih-Paper Sachet 2 g",
"8992829101181","Teh Hitam Celup SC IBIS-Paper Sachet 2 g",
"8992829101182","Teh Hitam Celup SC Surakarta-Paper Sachet 2 g",
"8992829101183","Teh Leci Celup SC Surakarta-Paper Sachet 2 g",
"8992829101184","Teh Blackcurrant Celup SC Surakarta-Paper Sachet 2 g",
"8992829101185","Teh Apel Celup SC Surakarta-Paper Sachet 2 g",
"8992829101186","Teh Hijau Celup SC Clarity-Paper Sachet 2 g",
"8992829101187","Teh Lemon Celup SC Clarity-Paper Sachet 2 g",
"8992829101188","Teh Wangi Celup SC Clarity-Paper Sachet 2 g",
"8992829101189","Teh Earl Grey Celup SC Clarity-Paper Sachet 2 g",
"8992829101190","Teh Wangi Celup SC Bidakara-Paper Sachet 2 g",
"8992829101191","Teh Hijau Celup SC Delonix-Paper Sachet 2 g",
"8992829101192","Teh Hijau Celup SC Gracia-Paper Sachet 2 g",
"8992829101193","Teh Blackcurrant Celup SC Gracia-Paper Sachet 2 g",
"8992829101194","Teh Apel Celup SC Gracia-Paper Sachet 2 g",
"8992829101195","Teh Hitam Klasik Celup Walini-Amplop 2 g",
"8992829101196","Teh Wangi Celup SC Meize-Amplop 2 g",
"8992829101197","Teh Hitam Celup SC Meize-Amplop 2 g",
"8992829101198","Teh Hitam Klasik Celup Walini-Amplop 1.8 g",
"8992829101199","Teh English Breakfast Klasik Celup Walini-Paper Sachet 1.8 g",
"8992829101200","Teh Lemon Klasik Celup Walini-Paper Sachet 1.8 g",
"8992829101201","Teh Leci Klasik Celup Walini-Paper Sachet 1.8 g",
"8992829101202","Teh Hijau Klasik Celup Walini-Paper Sachet 1.8 g",
"8992829101203","Teh Wangi Klasik Celup Walini-Paper Sachet 1.8 g",
"8992829101404","Teh Hitam Celup SC Klasik Walini Dus/Amplop-Dus 45 g 25 TB x 18 g",
"8992829105500","Teh Hitam Seduh Walini-Dus 100 g",
"8992829105501","Teh Hijau Seduh Walini-Dus 100 g",
"8992829105502","Teh Hitam BP 1 Seduh Walini-Dus 200 g",
"8992829105515","Teh Putih Seduh Walini-Box 50 g (2 x 25 g)",
"8992829105516","Teh Putih Seduh Walini-Bungkus 10 g",
"8992829105517","Teh Putih Seduh Walini-Composit 25 g",
"8992829105522","Teh Hitam BP 1 Seduh Walini-Dus 200 g",
"8992829105523","Teh 4 Dus Seduh Walini Exclusive - Bamboo Box 205 g",
"8992829105525","Teh Hitam Seduh Ciater BOPF-Paper Kraft 500 g",
"8992829101163","Teh Kayu Manis Celup SC Walini Reguler-Paper Sachet 2 g",
"8992829101164","Teh Apel Celup SC Walini Reguler-Paper Sachet 2 g",
"8992829101165","Teh Wangi Celup SC Walini Reguler-Paper Sachet 2 g",
"8992829101166","Teh Vanila Celup SC Walini Reguler-Paper Sachet 2 g",
"8992829101167","Teh Earl Grey Celup SC Walini Reguler-Paper Sachet 2 g",
"8992829101168","Teh English Breakfast Celup SC Walini Reguler-Paper Sachet 2 g",
"8992829101169","Teh Hitam Celup SC Lor Inn-Paper Sachet 2 g",
"8992829101170","Teh Hijau Celup SC Lor Inn-Paper Sachet 2 g",
"8992829101171","Teh Jahe Celup SC Lor Inn-Paper Sachet 2 g",
"8992829101172","Teh Apel Celup SC Lor Inn-Paper Sachet 2 g",
"8992829101173","Teh Hitam Celup SC de Java-Paper Sachet 2 g",
"8992829101174","Teh Hijau-Jahe-Lemon Celup SC Horison-Paper Sachet 2 g",
"8992829117770","Teh Hitam Seduh FANN II",
"8992829117704","Teh Hitam Seduh PF -1",
"8992829114438","Teh Wangi Celup Walini Holding -Dus 180 g ( 100 TB x 1,8 g )",
"8992829114437","Teh Hitam Celup Walini Holding - Dus 54 g (30 TB x 1,8 g)",
"8992829114434","Teh Passion Fruit Celup SC Syam Kautsar-Alu Paper 2 gr (25 TB x 2 g)",
"8992829114433","Teh Manggo Celup SC Syam Kautsar-Alu Paper 2 gr (25 TB x 2 g)",
"8992829114432","Teh Kayumanis Celup SC Syam Kautsar-Alu Paper 2 gr (25 TB x 2 g)",
"8992829114431","Teh Blackcurent Celup SC Syam Kautsar-Alu Paper 2 gr (25 TB x 2 g)",
"8992829114430","Teh jasmine Celup SC Syam Kautsar-Alu Paper 2 gr (25 TB x 2 g)",
"8992829114429","Teh Hijau Celup SC Syam Kautsar-Alu Paper 2 gr (25 TB x 2 g)",
"8992829114415","Teh Wangi Celup SC Super Indo 365-Dus 50 gr (25 TB x 2 g)",
"8992829114414","Teh Hijau Celup SC Super Indo 365-Dus 50 gr (25 TB x 2 g)",
"8992829114413","Teh Hitam Celup SC Super Indo 365-Dus 50 gr (25 TB x 2 g)",
"8992829114408","Teh Mangosteen Celup SC Anugerah Agrotekindo",
"8992829114400","Teh Hitam Celup SC Anugerah Alam-TB 2 gr",
"8992829107739","Teh Lemon Instan Walini-Sachet 400 g (20 x 20 g)",
"8992829107738","Teh Susu Instan Walini-Sachet 400 g (20 x 20 g)",
"8992829107734","Teh Hijau Seduh Walini-Paper Pouch 50 g",
"8992829107733","Teh Putih Seduh Walini-Paper Pouch 50 g",
"8992829107732","Teh Hitam Seduh Walini-Paper Pouch 50 g",
"8992829107703","Teh Lemon Instan Walini-Dus 100 g (5 x 20 g)",
"8992829107702","Teh Susu Instan Walini-Dus 100 g (5 x 20 g)",
